t,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X'0,Y'0,Z'0,X'1,Y'1,Z'1,X'2,Y'2,Z'2
0.010000,1.000000,-0.000491,0.000000,1.999950,-0.010490,0.000000,2.999900,-0.000491,0.000000,-0.000048,-0.098246,0.000000,-0.010043,-1.097849,0.000000,-0.020039,-0.098200,0.000000
0.020000,0.999998,-0.001966,0.000000,1.999798,-0.021955,0.000000,2.999598,-0.001965,0.000000,-0.000387,-0.196769,0.000000,-0.020349,-1.195185,0.000000,-0.040315,-0.196605,0.000000
0.030000,0.999990,-0.004427,0.000000,1.999541,-0.034392,0.000000,2.999092,-0.004424,0.000000,-0.001309,-0.295558,0.000000,-0.031179,-1.291976,0.000000,-0.061063,-0.295224,0.000000
0.040000,0.999969,-0.007878,0.000000,1.999172,-0.047793,0.000000,2.998375,-0.007870,0.000000,-0.003109,-0.394603,0.000000,-0.042798,-1.388168,0.000000,-0.082517,-0.394075,0.000000
0.050000,0.999924,-0.012320,0.000000,1.998682,-0.062153,0.000000,2.997439,-0.012306,0.000000,-0.006085,-0.493898,0.000000,-0.055470,-1.483684,0.000000,-0.104905,-0.493181,0.000000
0.060000,0.999842,-0.017757,0.000000,1.998058,-0.077464,0.000000,2.996273,-0.017735,0.000000,-0.010539,-0.593429,0.000000,-0.069456,-1.578430,0.000000,-0.128446,-0.592574,0.000000
0.070000,0.999707,-0.024189,0.000000,1.997287,-0.093718,0.000000,2.994865,-0.024159,0.000000,-0.016772,-0.693173,0.000000,-0.085015,-1.672293,0.000000,-0.153349,-0.692289,0.000000
0.080000,0.999500,-0.031621,0.000000,1.996352,-0.110906,0.000000,2.993201,-0.031581,0.000000,-0.025091,-0.793093,0.000000,-0.102404,-1.765141,0.000000,-0.179813,-0.792366,0.000000
0.090000,0.999198,-0.040052,0.000000,1.995232,-0.129017,0.000000,2.991263,-0.040007,0.000000,-0.035800,-0.893128,0.000000,-0.121877,-1.856827,0.000000,-0.208023,-0.892850,0.000000
0.100000,0.998775,-0.049483,0.000000,1.993907,-0.148039,0.000000,2.989034,-0.049440,0.000000,-0.049207,-0.993195,0.000000,-0.143688,-1.947190,0.000000,-0.238152,-0.993791,0.000000
0.110000,0.998203,-0.059915,0.000000,1.992350,-0.167956,0.000000,2.986493,-0.059885,0.000000,-0.065616,-1.093178,0.000000,-0.168085,-2.036059,0.000000,-0.270360,-1.095239,0.000000
0.120000,0.997452,-0.071346,0.000000,1.990535,-0.188754,0.000000,2.983619,-0.071347,0.000000,-0.085328,-1.192924,0.000000,-0.195316,-2.123249,0.000000,-0.304793,-1.197248,0.000000
0.130000,0.996485,-0.083772,0.000000,1.988433,-0.210415,0.000000,2.980389,-0.083832,0.000000,-0.108636,-1.292243,0.000000,-0.225624,-2.208570,0.000000,-0.341583,-1.299873,0.000000
0.140000,0.995266,-0.097189,0.000000,1.986012,-0.232919,0.000000,2.976779,-0.097346,0.000000,-0.135823,-1.390899,0.000000,-0.259248,-2.291825,0.000000,-0.380848,-1.403167,0.000000
0.150000,0.993755,-0.111587,0.000000,1.983237,-0.256244,0.000000,2.972764,-0.111898,0.000000,-0.167153,-1.488607,0.000000,-0.296419,-2.372813,0.000000,-0.422692,-1.507185,0.000000
0.160000,0.991908,-0.126957,0.000000,1.980071,-0.280367,0.000000,2.968317,-0.127493,0.000000,-0.202872,-1.585031,0.000000,-0.337363,-2.451335,0.000000,-0.467206,-1.611977,0.000000
0.170000,0.989682,-0.143282,0.000000,1.976476,-0.305262,0.000000,2.963411,-0.144140,0.000000,-0.243193,-1.679784,0.000000,-0.382292,-2.527191,0.000000,-0.514463,-1.717593,0.000000
0.180000,0.987028,-0.160545,0.000000,1.972411,-0.330901,0.000000,2.958018,-0.161847,0.000000,-0.288293,-1.772421,0.000000,-0.431401,-2.600190,0.000000,-0.564522,-1.824075,0.000000
0.190000,0.983900,-0.178722,0.000000,1.967833,-0.357255,0.000000,2.952111,-0.180624,0.000000,-0.338307,-1.862446,0.000000,-0.484864,-2.670152,0.000000,-0.617424,-1.931463,0.000000
0.200000,0.980246,-0.197784,0.000000,1.962699,-0.384293,0.000000,2.945660,-0.200480,0.000000,-0.393312,-1.949314,0.000000,-0.542830,-2.736909,0.000000,-0.673192,-2.039785,0.000000
0.210000,0.976017,-0.217696,0.000000,1.956961,-0.411982,0.000000,2.938637,-0.221423,0.000000,-0.453324,-2.032432,0.000000,-0.605411,-2.800314,0.000000,-0.731830,-2.149062,0.000000
0.220000,0.971163,-0.238418,0.000000,1.950575,-0.440288,0.000000,2.931014,-0.243464,0.000000,-0.518287,-2.111171,0.000000,-0.672681,-2.860243,0.000000,-0.793319,-2.259307,0.000000
0.230000,0.965635,-0.259902,0.000000,1.943492,-0.469175,0.000000,2.922761,-0.266613,0.000000,-0.588064,-2.184879,0.000000,-0.744661,-2.916600,0.000000,-0.857619,-2.370515,0.000000
