t,X0,Y0,Z0,X'0,Y'0,Z'0
0.010000,1.000000,-0.000490,0.000000,-0.000048,-0.098100,0.000000
0.020000,0.999998,-0.001962,0.000000,-0.000385,-0.196200,0.000000
0.030000,0.999990,-0.004414,0.000000,-0.001299,-0.294297,0.000000
0.040000,0.999969,-0.007848,0.000000,-0.003079,-0.392385,0.000000
0.050000,0.999925,-0.012262,0.000000,-0.006014,-0.490456,0.000000
0.060000,0.999844,-0.017657,0.000000,-0.010393,-0.588490,0.000000
0.070000,0.999711,-0.024032,0.000000,-0.016502,-0.686462,0.000000
0.080000,0.999507,-0.031386,0.000000,-0.024629,-0.784336,0.000000
0.090000,0.999211,-0.039718,0.000000,-0.035061,-0.882064,0.000000
0.100000,0.998797,-0.049026,0.000000,-0.048083,-0.979585,0.000000
0.110000,0.998240,-0.059309,0.000000,-0.063977,-1.076821,0.000000
0.120000,0.997507,-0.070562,0.000000,-0.083024,-1.173680,0.000000
0.130000,0.996568,-0.082781,0.000000,-0.105498,-1.270050,0.000000
0.140000,0.995385,-0.095961,0.000000,-0.131670,-1.365799,0.000000
0.150000,0.993921,-0.110094,0.000000,-0.161806,-1.460775,0.000000
0.160000,0.992135,-0.125173,0.000000,-0.196162,-1.554803,0.000000
0.170000,0.989983,-0.141186,0.000000,-0.234984,-1.647683,0.000000
0.180000,0.987420,-0.158122,0.000000,-0.278508,-1.739191,0.000000
0.190000,0.984396,-0.175965,0.000000,-0.326955,-1.829079,0.000000
0.200000,0.980863,-0.194697,0.000000,-0.380530,-1.917070,0.000000
0.210000,0.976768,-0.214299,0.000000,-0.439419,-2.002861,0.000000
0.220000,0.972057,-0.234746,0.000000,-0.503787,-2.086124,0.000000
0.230000,0.966674,-0.256012,0.000000,-0.573772,-2.166503,0.000000
0.240000,0.960562,-0.278065,0.000000,-0.649485,-2.243615,0.000000
0.250000,0.953665,-0.300872,0.000000,-0.731007,-2.317052,0.000000
0.260000,0.945923,-0.324393,0.000000,-0.818382,-2.386385,0.000000
0.270000,0.937277,-0.348584,0.000000,-0.911614,-2.451159,0.000000
0.280000,0.927671,-0.373399,0.000000,-1.010670,-2.510903,0.000000
0.290000,0.917045,-0.398784,0.000000,-1.115465,-2.565127,0.000000
0.300000,0.905343,-0.424681,0.000000,-1.225870,-2.613330,0.000000
