t,X0,Y0,Z0,X1,Y1,Z1,X'0,Y'0,Z'0,X'1,Y'1,Z'1
0.010000,1.000000,-0.000491,0.000000,1.999950,-0.010490,0.000000,-0.000048,-0.098149,0.000000,-0.010047,-1.098050,0.000000
0.020000,0.999998,-0.001963,0.000000,1.999798,-0.021961,0.000000,-0.000386,-0.196392,0.000000,-0.020379,-1.195994,0.000000
0.030000,0.999990,-0.004419,0.000000,1.999540,-0.034410,0.000000,-0.001302,-0.294728,0.000000,-0.031280,-1.293821,0.000000
0.040000,0.999969,-0.007858,0.000000,1.999170,-0.047837,0.000000,-0.003090,-0.393158,0.000000,-0.043034,-1.391509,0.000000
0.050000,0.999925,-0.012282,0.000000,1.998676,-0.062239,0.000000,-0.006039,-0.491680,0.000000,-0.055926,-1.489027,0.000000
0.060000,0.999843,-0.017692,0.000000,1.998046,-0.077616,0.000000,-0.010445,-0.590288,0.000000,-0.070240,-1.586339,0.000000
0.070000,0.999710,-0.024088,0.000000,1.997265,-0.093965,0.000000,-0.016601,-0.688968,0.000000,-0.086259,-1.683395,0.000000
0.080000,0.999505,-0.031472,0.000000,1.996315,-0.111283,0.000000,-0.024802,-0.787693,0.000000,-0.104265,-1.780142,0.000000
0.090000,0.999206,-0.039842,0.000000,1.995173,-0.129567,0.000000,-0.035345,-0.886419,0.000000,-0.124541,-1.876515,0.000000
0.100000,0.998789,-0.049200,0.000000,1.993815,-0.148812,0.000000,-0.048525,-0.985086,0.000000,-0.147369,-1.972442,0.000000
0.110000,0.998226,-0.059543,0.000000,1.992216,-0.169014,0.000000,-0.064636,-1.083610,0.000000,-0.173032,-2.067841,0.000000
0.120000,0.997485,-0.070871,0.000000,1.990344,-0.190167,0.000000,-0.083972,-1.181880,0.000000,-0.201813,-2.162625,0.000000
0.130000,0.996535,-0.083180,0.000000,1.988168,-0.212264,0.000000,-0.106820,-1.279756,0.000000,-0.233991,-2.256694,0.000000
0.140000,0.995336,-0.096464,0.000000,1.985652,-0.235298,0.000000,-0.133460,-1.377067,0.000000,-0.269849,-2.349944,0.000000
0.150000,0.993852,-0.110718,0.000000,1.982758,-0.259260,0.000000,-0.164164,-1.473602,0.000000,-0.309664,-2.442259,0.000000
0.160000,0.992039,-0.125933,0.000000,1.979445,-0.284140,0.000000,-0.199189,-1.569115,0.000000,-0.353710,-2.533519,0.000000
0.170000,0.989853,-0.142096,0.000000,1.975669,-0.309926,0.000000,-0.238774,-1.663316,0.000000,-0.402256,-2.623593,0.000000
0.180000,0.987247,-0.159194,0.000000,1.971384,-0.336607,0.000000,-0.283135,-1.755872,0.000000,-0.455562,-2.712347,0.000000
0.190000,0.984174,-0.177207,0.000000,1.966541,-0.364168,0.000000,-0.332458,-1.846407,0.000000,-0.513874,-2.799638,0.000000
0.200000,0.980581,-0.196114,0.000000,1.961089,-0.392595,0.000000,-0.386895,-1.934499,0.000000,-0.577427,-2.885319,0.000000
0.210000,0.976418,-0.215887,0.000000,1.954974,-0.421869,0.000000,-0.446555,-2.019683,0.000000,-0.646432,-2.969238,0.000000
0.220000,0.971632,-0.236496,0.000000,1.948141,-0.451973,0.000000,-0.511496,-2.101454,0.000000,-0.721076,-3.051242,0.000000
0.230000,0.966171,-0.257903,0.000000,1.940533,-0.482887,0.000000,-0.581720,-2.179270,0.000000,-0.801518,-3.131175,0.000000
0.240000,0.959981,-0.280066,0.000000,1.932091,-0.514589,0.000000,-0.657165,-2.252558,0.000000,-0.887879,-3.208883,0.000000
0.250000,0.953010,-0.302937,0.000000,1.922756,-0.547057,0.000000,-0.737698,-2.320724,0.000000,-0.980242,-3.284212,0.000000
0.260000,0.945210,-0.326462,0.000000,1.912466,-0.580265,0.000000,-0.823109,-2.383163,0.000000,-1.078643,-3.357013,0.000000
0.270000,0.936533,-0.350579,0.000000,1.901163,-0.614188,0.000000,-0.913109,-2.439267,0.000000,-1.183070,-3.427140,0.000000
0.280000,0.926934,-0.375224,0.000000,1.888785,-0.648798,0.000000,-1.007326,-2.488445,0.000000,-1.293460,-3.494455,0.000000
0.290000,0.916374,-0.400323,0.000000,1.875274,-0.684067,0.000000,-1.105303,-2.530131,0.000000,-1.409699,-3.558825,0.000000
0.300000,0.904817,-0.425800,0.000000,1.860572,-0.719965,0.000000,-1.206507,-2.563805,0.000000,-1.531622,-3.620122,0.000000
0.310000,0.892235,-0.451571,0.000000,1.844623,-0.756459,0.000000,-1.310325,-2.589000,0.000000,-1.659018,-3.678225,0.000000
0.320000,0.878604,-0.477550,0.000000,1.827374,-0.793518,0.000000,-1.416080,-2.605325,0.000000,-1.791634,-3.733017,0.000000
0.330000,0.863909,-0.503647,0.000000,1.808774,-0.831108,0.000000,-1.523032,-2.612468,0.000000,-1.929181,-3.784381,0.000000
0.340000,0.848142,-0.529768,0.000000,1.788775,-0.869194,0.000000,-1.630397,-2.610213,0.000000,-2.071348,-3.832199,0.000000
0.350000,0.831303,-0.555820,0.000000,1.767333,-0.907740,0.000000,-1.737352,-2.598442,0.000000,-2.217807,-3.876348,0.000000
0.360000,0.813399,-0.581705,0.000000,1.744406,-0.946708,0.000000,-1.843052,-2.577141,0.000000,-2.368225,-3.916693,0.000000
0.370000,0.794449,-0.607331,0.000000,1.719956,-0.986060,0.000000,-1.946643,-2.546401,0.000000,-2.522276,-3.953085,0.000000
0.380000,0.774476,-0.632603,0.000000,1.693949,-1.025756,0.000000,-2.047274,-2.506416,0.000000,-2.679646,-3.985354,0.000000
0.390000,0.753516,-0.657429,0.000000,1.666353,-1.065753,0.000000,-2.144106,-2.457478,0.000000,-2.840046,-4.013301,0.000000
0.400000,0.731610,-0.681724,0.000000,1.637139,-1.106007,0.000000,-2.236329,-2.399975,0.000000,-3.003212,-4.036700,0.000000
0.410000,0.708807,-0.705402,0.000000,1.606281,-1.146471,0.000000,-2.323164,-2.334380,0.000000,-3.168913,-4.055283,0.000000
0.420000,0.685167,-0.728386,0.000000,1.573753,-1.187095,0.000000,-2.403879,-2.261243,0.000000,-3.336952,-4.068741,0.000000
0.430000,0.660753,-0.750604,0.000000,1.539534,-1.227827,0.000000,-2.477790,-2.181186,0.000000,-3.507162,-4.076717,0.000000
0.440000,0.635636,-0.771989,0.000000,1.503603,-1.268610,0.000000,-2.544276,-2.094891,0.000000,-3.679403,-4.078804,0.000000
0.450000,0.609894,-0.792483,0.000000,1.465940,-1.309382,0.000000,-2.602780,-2.003094,0.000000,-3.853560,-4.074535,0.000000
0.460000,0.583608,-0.812035,0.000000,1.426526,-1.350078,0.000000,-2.652816,-1.906575,0.000000,-4.029530,-4.063385,0.000000
0.470000,0.556867,-0.830602,0.000000,1.385344,-1.390625,0.000000,-2.693980,-1.806146,0.000000,-4.207214,-4.044766,0.000000
0.480000,0.529760,-0.848148,0.000000,1.342376,-1.430946,0.000000,-2.725954,-1.702651,0.000000,-4.386510,-4.018024,0.000000
0.490000,0.502379,-0.864647,0.000000,1.297609,-1.470956,0.000000,-2.748515,-1.596948,0.000000,-4.567291,-3.982439,0.000000
0.500000,0.474821,-0.880082,0.000000,1.251026,-1.510563,0.000000,-2.761540,-1.489903,0.000000,-4.749402,-3.937224,0.000000
0.510000,0.447180,-0.894444,0.000000,1.202617,-1.549666,0.000000,-2.765019,-1.382381,0.000000,-4.932634,-3.881527,0.000000
0.520000,0.419552,-0.907731,0.000000,1.152371,-1.588155,0.000000,-2.759059,-1.275233,0.000000,-5.116715,-3.814433,0.000000
0.530000,0.392030,-0.919953,0.000000,1.100281,-1.625913,0.000000,-2.743897,-1.169288,0.000000,-5.301287,-3.734974,0.000000
0.540000,0.364704,-0.931124,0.000000,1.046345,-1.662810,0.000000,-2.719908,-1.065337,0.000000,-5.485892,-3.642133,0.000000
0.550000,0.337659,-0.941268,0.000000,0.990565,-1.698708,0.000000,-2.687612,-0.964122,0.000000,-5.669946,-3.534864,0.000000
0.560000,0.310977,-0.950417,0.000000,0.932950,-1.733456,0.000000,-2.647686,-0.866323,0.000000,-5.852723,-3.412107,0.000000
0.570000,0.284728,-0.958608,0.000000,0.873518,-1.766895,0.000000,-2.600973,-0.772548,0.000000,-6.033335,-3.272821,0.000000
0.580000,0.258977,-0.965884,0.000000,0.812294,-1.798854,0.000000,-2.548487,-0.683311,0.000000,-6.210709,-3.116015,0.000000
0.590000,0.233774,-0.972291,0.000000,0.749318,-1.829154,0.000000,-2.491419,-0.599027,0.000000,-6.383575,-2.940802,0.000000
0.600000,0.209159,-0.977882,0.000000,0.684643,-1.857606,0.000000,-2.431136,-0.519995,0.000000,-6.550455,-2.746451,0.000000
0.610000,0.185157,-0.982709,0.000000,0.618335,-1.884017,0.000000,-2.369176,-0.446387,0.000000,-6.709659,-2.532468,0.000000
0.620000,0.161775,-0.986828,0.000000,0.550481,-1.908189,0.000000,-2.307228,-0.378235,0.000000,-6.859299,-2.298671,0.000000
0.630000,0.139006,-0.990292,0.000000,0.481188,-1.929925,0.000000,-2.247103,-0.315423,0.000000,-6.997321,-2.045284,0.000000
0.640000,0.116821,-0.993153,0.000000,0.410581,-1.949032,0.000000,-2.190690,-0.257683,0.000000,-7.121553,-1.773030,0.000000
0.650000,0.095174,-0.995461,0.000000,0.338810,-1.965327,0.000000,-2.139883,-0.204589,0.000000,-7.229787,-1.483203,0.000000
0.660000,0.073999,-0.997258,0.000000,0.266045,-1.978644,0.000000,-2.096502,-0.155565,0.000000,-7.319881,-1.177725,0.000000
0.670000,0.053213,-0.998583,0.000000,0.192479,-1.988838,0.000000,-2.062191,-0.109892,0.000000,-7.389881,-0.859159,0.000000
0.680000,0.032720,-0.999465,0.000000,0.118320,-1.995794,0.000000,-2.038316,-0.066729,0.000000,-7.438158,-0.530661,0.000000
0.690000,0.012409,-0.999923,0.000000,0.043792,-1.999430,0.000000,-2.025861,-0.025140,0.000000,-7.463525,-0.195879,0.000000
0.700000,-0.007837,-0.999969,0.000000,-0.030872,-1.999704,0.000000,-2.025356,0.015874,0.000000,-7.465342,0.141213,0.000000
0.710000,-0.028138,-0.999604,0.000000,-0.105436,-1.996612,0.000000,-2.036830,0.057336,0.000000,-7.443570,0.476516,0.000000
0.720000,-0.048612,-0.998818,0.000000,-0.179666,-1.990193,0.000000,-2.059809,0.100251,0.000000,-7.398773,0.806030,0.000000
0.730000,-0.069370,-0.997591,0.000000,-0.253338,-1.980523,0.000000,-2.093356,0.145566,0.000000,-7.332071,1.126058,0.000000
0.740000,-0.090510,-0.995896,0.000000,-0.326240,-1.967714,0.000000,-2.136144,0.194140,0.000000,-7.245043,1.433381,0.000000
0.750000,-0.112118,-0.993695,0.000000,-0.398177,-1.951907,0.000000,-2.186557,0.246708,0.000000,-7.139603,1.725363,0.000000
0.760000,-0.134261,-0.990946,0.000000,-0.468978,-1.933265,0.000000,-2.242788,0.303870,0.000000,-7.017874,2.000006,0.000000
0.770000,-0.156987,-0.987601,0.000000,-0.538488,-1.911969,0.000000,-2.302947,0.366072,0.000000,-6.882058,2.255940,0.000000
