t,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X'0,Y'0,Z'0,X'1,Y'1,Z'1,X'2,Y'2,Z'2
0.001000,1.000000,-0.000005,0.000000,1.999999,-0.001005,0.000000,2.999999,-0.000005,0.000000,-0.000000,-0.009811,0.000000,-0.001000,-1.009807,0.000000,-0.002000,-0.009811,0.000000
0.017000,0.999999,-0.001420,0.000000,1.999855,-0.018413,0.000000,2.999710,-0.001419,0.000000,-0.000237,-0.167184,0.000000,-0.017214,-1.166040,0.000000,-0.034193,-0.167061,0.000000
0.034000,0.999984,-0.005689,0.000000,1.999407,-0.039637,0.000000,2.998831,-0.005684,0.000000,-0.001907,-0.335145,0.000000,-0.035717,-1.330529,0.000000,-0.069547,-0.334735,0.000000
0.050000,0.999924,-0.012320,0.000000,1.998682,-0.062153,0.000000,2.997439,-0.012306,0.000000,-0.006085,-0.493898,0.000000,-0.055470,-1.483684,0.000000,-0.104905,-0.493181,0.000000
0.067000,0.999755,-0.022155,0.000000,1.997535,-0.088744,0.000000,2.995314,-0.022127,0.000000,-0.014697,-0.663229,0.000000,-0.080166,-1.644234,0.000000,-0.145723,-0.662338,0.000000
0.084000,0.999392,-0.034873,0.000000,1.995927,-0.118041,0.000000,2.992459,-0.034831,0.000000,-0.029070,-0.833097,0.000000,-0.109929,-1.801963,0.000000,-0.190877,-0.832508,0.000000
0.100000,0.998775,-0.049483,0.000000,1.993907,-0.148039,0.000000,2.989034,-0.049440,0.000000,-0.049207,-0.993195,0.000000,-0.143688,-1.947190,0.000000,-0.238152,-0.993791,0.000000
0.117000,0.997698,-0.067812,0.000000,1.991109,-0.182423,0.000000,2.984518,-0.067801,0.000000,-0.079050,-1.163036,0.000000,-0.186835,-2.097280,0.000000,-0.294221,-1.166584,0.000000
0.134000,0.996030,-0.089020,0.000000,1.987505,-0.219316,0.000000,2.978992,-0.089114,0.000000,-0.119030,-1.331800,0.000000,-0.238662,-2.242131,0.000000,-0.356985,-1.341107,0.000000
0.150000,0.993755,-0.111587,0.000000,1.983237,-0.256244,0.000000,2.972764,-0.111898,0.000000,-0.167153,-1.488607,0.000000,-0.296419,-2.372813,0.000000,-0.422692,-1.507185,0.000000
0.167000,0.990392,-0.138285,0.000000,1.977602,-0.297714,0.000000,2.964932,-0.139035,0.000000,-0.230602,-1.651559,0.000000,-0.368383,-2.504725,0.000000,-0.499994,-1.685819,0.000000
0.184000,0.985837,-0.167708,0.000000,1.970644,-0.341359,0.000000,2.955718,-0.169229,0.000000,-0.307703,-1.808774,0.000000,-0.452254,-2.628549,0.000000,-0.585339,-1.866920,0.000000
0.200000,0.980246,-0.197784,0.000000,1.962699,-0.384293,0.000000,2.945660,-0.200480,0.000000,-0.393312,-1.949314,0.000000,-0.542830,-2.736909,0.000000,-0.673192,-2.039785,0.000000
0.217000,0.972687,-0.232119,0.000000,1.952562,-0.431734,0.000000,2.933366,-0.236736,0.000000,-0.498284,-2.088048,0.000000,-0.652005,-2.842635,0.000000,-0.774575,-2.226132,0.000000
0.234000,0.963224,-0.268698,0.000000,1.940454,-0.480885,0.000000,2.919278,-0.276184,0.000000,-0.617277,-2.212803,0.000000,-0.774767,-2.938127,0.000000,-0.884113,-2.415266,0.000000
0.250000,0.952372,-0.304939,0.000000,1.927050,-0.528549,0.000000,2.904259,-0.316269,0.000000,-0.741087,-2.314531,0.000000,-0.902565,-3.018385,0.000000,-0.994374,-2.595752,0.000000
0.267000,0.938578,-0.345068,0.000000,1.910465,-0.580515,0.000000,2.886308,-0.362044,0.000000,-0.883441,-2.402938,0.000000,-1.050719,-3.093440,0.000000,-1.118662,-2.789960,0.000000
0.284000,0.922286,-0.386508,0.000000,1.891261,-0.633668,0.000000,2.866187,-0.411140,0.000000,-1.034416,-2.468324,0.000000,-1.210405,-3.158277,0.000000,-1.249643,-2.986369,0.000000
0.300000,0.904563,-0.426341,0.000000,1.870630,-0.684630,0.000000,2.845170,-0.460412,0.000000,-1.181547,-2.506878,0.000000,-1.369668,-3.210498,0.000000,-1.378331,-3.172845,0.000000
0.317000,0.883132,-0.469125,0.000000,1.845853,-0.739619,0.000000,2.820540,-0.516044,0.000000,-1.339780,-2.522146,0.000000,-1.546362,-3.257399,0.000000,-1.520029,-3.372200,0.000000
0.334000,0.859020,-0.511941,0.000000,1.818024,-0.795336,0.000000,2.793464,-0.575071,0.000000,-1.496202,-2.510577,0.000000,-1.728401,-3.296337,0.000000,-1.666097,-3.572249,0.000000
0.350000,0.833936,-0.551862,0.000000,1.788979,-0.848327,0.000000,2.765683,-0.633734,0.000000,-1.638311,-2.475702,0.000000,-1.902412,-3.326489,0.000000,-1.807026,-3.760633,0.000000
0.367000,0.804861,-0.593463,0.000000,1.755061,-0.905105,0.000000,2.733667,-0.699363,0.000000,-1.780371,-2.414560,0.000000,-2.087925,-3.352295,0.000000,-1.960089,-3.960344,0.000000
0.384000,0.773474,-0.633828,0.000000,1.717998,-0.962271,0.000000,2.699021,-0.768380,0.000000,-1.909932,-2.330731,0.000000,-2.272060,-3.372125,0.000000,-2.116530,-4.159056,0.000000
0.400000,0.742032,-0.670364,0.000000,1.680276,-1.016338,0.000000,2.663956,-0.836412,0.000000,-2.017783,-2.233503,0.000000,-2.442560,-3.385451,0.000000,-2.267103,-4.344698,0.000000
0.417000,0.706877,-0.707336,0.000000,1.637242,-1.073970,0.000000,2.624027,-0.911935,0.000000,-2.114950,-2.113577,0.000000,-2.619432,-3.393743,0.000000,-2.431213,-4.539986,0.000000
0.434000,0.670238,-0.742146,0.000000,1.591247,-1.131688,0.000000,2.581266,-0.990757,0.000000,-2.192027,-1.979637,0.000000,-2.790853,-3.395461,0.000000,-2.600489,-4.732736,0.000000
0.450000,0.634718,-0.772744,0.000000,1.545340,-1.185984,0.000000,2.538345,-1.067914,0.000000,-2.244597,-1.843673,0.000000,-2.946465,-3.390319,0.000000,-2.765618,-4.911293,0.000000
0.467000,0.596244,-0.802804,0.000000,1.493892,-1.243516,0.000000,2.489786,-1.152993,0.000000,-2.277853,-1.691765,0.000000,-3.105053,-3.376617,0.000000,-2.948650,-5.097292,0.000000
0.484000,0.557409,-0.830238,0.000000,1.439812,-1.300734,0.000000,2.438038,-1.241195,0.000000,-2.286764,-1.535299,0.000000,-3.256022,-3.353117,0.000000,-3.141179,-5.278579,0.000000
0.500000,0.520907,-0.853613,0.000000,1.386629,-1.354138,0.000000,2.386260,-1.326982,0.000000,-2.272272,-1.386626,0.000000,-3.390469,-3.320691,0.000000,-3.332790,-5.443875,0.000000
0.517000,0.482583,-0.875850,0.000000,1.327840,-1.410210,0.000000,2.327782,-1.420972,0.000000,-2.232262,-1.229948,0.000000,-3.524304,-3.273717,0.000000,-3.549476,-5.612441,0.000000
0.534000,0.445153,-0.895454,0.000000,1.266862,-1.465362,0.000000,2.265489,-1.517754,0.000000,-2.167000,-1.077271,0.000000,-3.647668,-3.212140,0.000000,-3.781961,-5.771879,0.000000
0.550000,0.411125,-0.911579,0.000000,1.207643,-1.516193,0.000000,2.203116,-1.611235,0.000000,-2.083004,-0.939441,0.000000,-3.752823,-3.139259,0.000000,-4.017494,-5.911429,0.000000
0.567000,0.376635,-0.926362,0.000000,1.142989,-1.568780,0.000000,2.132550,-1.712893,0.000000,-1.970763,-0.801262,0.000000,-3.851057,-3.044302,0.000000,-4.288143,-6.045588,0.000000
0.584000,0.344244,-0.938880,0.000000,1.076799,-1.619588,0.000000,2.057184,-1.816681,0.000000,-1.836354,-0.673307,0.000000,-3.933034,-2.929682,0.000000,-4.582710,-6.161320,0.000000
0.600000,0.315999,-0.948759,0.000000,1.013368,-1.665472,0.000000,1.981479,-1.915994,0.000000,-1.691492,-0.563378,0.000000,-3.992766,-2.802543,0.000000,-4.884595,-6.248902,0.000000
